est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
1.1982708007,2.6794149658,13569.2492241812,54839744.08284605,1,1,16.73,False
0.2658,0.5943468684,73588.7266634981,61438126.52395093,1,1,20.0,True
0.7220295577,1.6145071727,114258.6921290512,49798724.94045679,1,1,17.83,False
0.096506147,0.2157943048,24764.3031380016,25434972.72075825,1,1,22.2,False
0.2550086879,0.5702167609,42737.7337647264,46275567.00130072,1,1,20.09,True
0.0363542322,0.0812905344,34297.5877783029,40585691.22792288,1,1,24.32,False
0.1716148941,0.3837425691,27529.4723069673,29069121.41864897,1,1,20.95,False
0.0053278866,0.0119135167,57544.4700827352,55115019.25807114,1,1,28.49,False
0.3503926411,0.7835017643,56625.2101223615,69035980.03881611,1,1,19.4,False
0.1058168859,0.2366137501,48425.8403287922,38355261.56076106,1,1,22.0,False
0.2526707542,0.5649889822,58430.6971996129,38337496.948336646,1,1,20.11,True
0.1529519353,0.3420109247,64393.9283164601,71983105.30586366,1,1,21.2,False
0.0699125232,0.1563291544,38018.6152911655,52093021.60346941,1,1,22.9,False
0.0061454682,0.0137416847,24323.0461447781,24617585.592055667,1,1,28.18,False
0.2901048414,0.648694146,10402.0021780274,60789296.02771025,1,1,19.81,False
0.4836764882,1.0815335068,74576.9307604201,59880809.89977076,1,1,18.7,False
0.0069912523,0.0156329154,75486.0908535512,71387057.94968764,1,1,27.9,False
0.04411182,0.0986370281,70770.591144329,27717237.017649755,1,1,23.9,False
0.0291443905,0.0651688382,42111.044076208,39421282.189457454,1,1,24.8,False
0.4619074603,1.0328564805,104810.0937203257,18832837.961159527,1,1,18.8,False
0.0097848681,0.0218796303,49452.2405777563,57667088.95334734,1,1,27.17,False
0.0101054342,0.0225964377,27462.3780123238,38913011.95197583,1,1,27.1,False
0.0030517923,0.0068240151,47644.44846305,52948852.88647757,1,1,29.7,False
0.2016299194,0.4508582062,115899.1804982056,15101017.143061124,1,1,20.6,True
0.0506471459,0.1132504611,33803.1665613625,70394867.7294613,1,1,23.6,False
0.4411182,0.9863702813,69871.9773106199,58438716.66670029,1,1,18.9,False
0.1756123185,0.3926810818,71487.9408268469,21123317.709318034,1,1,20.9,False
0.1108038821,0.2477650126,48655.3051323529,32797747.230158422,1,1,21.9,True
0.0319561887,0.0714562102,17906.4910924356,66979305.81433465,1,1,24.6,False
0.1363185559,0.3048175575,109370.3761722582,68231700.54084484,1,1,21.45,False
0.0506471459,0.1132504611,67866.9270709547,67973444.05314478,1,1,23.6,False
1.0293308202,2.3016536853,24889.1853045411,74035215.4339695,1,1,17.06,False
0.2210828104,0.4943561926,40625.2889513582,14891803.160525508,1,1,20.4,True
0.2016299194,0.4508582062,35852.7091885332,41530278.35873013,1,1,20.6,False
0.3051792326,0.6824015094,50429.0751880435,68493001.73415387,1,1,19.7,False
0.2231284644,0.4989304142,53877.1691510381,72103117.57910845,1,1,20.38,False
0.0146067964,0.0326617897,18985.1919130411,46329518.186574526,1,1,26.3,False
0.0056565936,0.0126485278,62986.2883263234,31121553.675848275,1,1,28.36,False
1.5085335612,3.3731835891,52325.4536501944,68178439.2710279,1,1,16.23,False
0.5815070396,1.30028927,37279.21093304,32530625.542762592,1,1,18.3,True
0.3377185972,0.7551617405,25692.767376194,25448430.02155091,1,1,19.48,False
0.2424124811,0.5420507863,39304.7215089966,70760700.6887492,1,1,20.2,False
0.1677084622,0.3750075218,40893.8242062985,40940821.43199843,1,1,21.0,False
0.063760979,0.1425738833,17928.5976594827,9980651.395142367,1,1,23.1,False
0.0040230458,0.0089958039,78622.5634985513,69474731.99651086,1,1,29.1,False
0.1529519353,0.3420109247,58668.2898911323,42979239.01666103,1,1,21.2,False
0.3051792326,0.6824015094,67427.2413314701,10094722.239382222,1,1,19.7,True
0.3669061375,0.8204270649,93603.4388915508,71488075.81129809,1,1,19.3,True
0.0139493823,0.0311917671,34034.9444761827,61591110.137824126,1,1,26.4,False
0.1979497587,0.4426291165,45273.2754076121,64417544.92968328,1,1,20.64,False
0.2111324448,0.4721064988,61503.1748375652,20252342.66384936,1,1,20.5,True
