est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
1.0246014747,2.2910785472,133569.0447878095,59192889.510018654,1,1,17.07,True
0.063760979,0.1425738833,34057.4645253574,19271833.509066008,1,1,23.1,False
0.3346223745,0.7482383761,178961.5176317593,70621103.49619783,1,1,19.5,False
0.0192555078,0.0430566244,62992.158548616,66598567.76102804,1,1,25.7,False
0.0640552863,0.1432319745,62231.1240190414,63279390.96067369,1,1,23.09,False
0.0092162655,0.0206081961,10942.4020852768,2730963.525595319,1,1,27.3,False
0.1677084622,0.3750075218,45437.9024473312,57358435.8005636,1,1,21.0,False
0.0555334912,0.1241766613,19618.6428710725,56141970.8172796,1,1,23.4,False
0.0201629919,0.0450858206,27829.8809519214,36667240.84372808,1,1,25.6,False
0.6895328745,1.54184238,104251.3300930244,55849922.175358,1,1,17.93,False
0.0880146521,0.1968067451,10141.4573463769,50747985.76303922,1,1,22.4,False
0.022108281,0.0494356193,45840.9663682067,31892139.724272624,1,1,25.4,False
0.0201629919,0.0450858206,48278.2660847838,53508267.1800014,1,1,25.6,False
0.0088014652,0.0196806745,17681.6093958802,34661779.89422328,1,1,27.4,False
0.0342416731,0.0765667087,67031.1409579124,53359100.78017805,1,1,24.45,False
0.5553349116,1.2417666126,44690.6105437144,29895907.52720728,1,1,18.4,False
0.4232090797,0.9463242708,41150.2999181252,32448956.54997965,1,1,18.99,False
0.1529519353,0.3420109247,138119.6179153084,42449777.79210029,1,1,21.2,True
0.1677084622,0.3750075218,32849.2718380631,71821360.44785456,1,1,21.0,False
0.2848098313,0.6368541435,121698.2652200201,14343696.102327328,1,1,19.85,True
0.040230458,0.0899580388,56257.7664189838,15729242.283004384,1,1,24.1,False
0.1453968429,0.3251172245,60442.5023964691,73445496.68104573,1,1,21.31,True
0.046190746,0.1032856481,17937.5673015648,46437179.76439061,1,1,23.8,False
0.0076657557,0.0171411509,49951.0568774797,58899445.11996995,1,1,27.7,False
0.0094744711,0.0211855615,66140.4132814536,65984450.49309449,1,1,27.24,False
0.5895966084,1.3183780956,54040.4264233289,8995868.483529503,1,1,18.27,True
0.3754524794,0.8395372662,18349.9020817116,58466943.86991655,1,1,19.25,False
0.5206609142,1.1642331974,80511.7544395639,42118247.579524025,1,1,18.54,False
0.4212646106,0.9419763057,79531.909216142,72192646.93765417,1,1,19.0,False
0.4023045798,0.8995803882,46055.704244769,6481999.516904809,1,1,19.1,True
0.0253837029,0.0567596853,36084.4759595308,3945815.604484121,1,1,25.1,False
0.0366906138,0.0820427065,37922.0576396191,32345980.94592387,1,1,24.3,False
0.0608912622,0.1361570015,41350.483343466,41971848.0371857,1,1,23.2,False
0.1108038821,0.2477650126,70986.8255907121,62866556.47492155,1,1,21.9,False
0.0267026877,0.0597090249,97279.0567687843,63163057.852564335,1,1,24.99,False
0.0375452479,0.0839537266,54577.4835045074,30382200.865199752,1,1,24.25,False
0.0070885103,0.015850391,68836.1023423451,64249245.54571862,1,1,27.87,False
0.6288614556,1.4061769631,28380.3471845248,48566372.723217934,1,1,18.13,False
0.2914439045,0.6516883822,56585.6108016358,25876695.04888037,1,1,19.8,False
0.0608912622,0.1361570015,14838.5095135883,2547549.296438411,1,1,23.2,False
0.040230458,0.0899580388,21809.7662886031,9646922.004118385,1,1,24.1,False
0.1677084622,0.3750075218,50274.7525542506,43377698.49348701,1,1,21.0,False
0.0305179233,0.0682401509,45889.536871755,40318791.06505293,1,1,24.7,False
0.1394938229,0.3119176705,50481.4833224874,55614625.95378576,1,1,21.4,True
0.0076657557,0.0171411509,26099.3739991088,50464532.32657762,1,1,27.7,False
0.1394938229,0.3119176705,33773.1375973068,60702844.42094298,1,1,21.4,False
0.876102615,1.9590250023,167372.8034566939,73659764.57330292,1,1,17.41,False
0.1550797087,0.3467687706,35075.2618559217,60171726.459811136,1,1,21.17,False
0.1394938229,0.3119176705,67641.0761074442,47859116.30013558,1,1,21.4,False
0.0146067964,0.0326617897,24060.6591223851,55084322.59793542,1,1,26.3,False
0.1407845434,0.3148038092,50481.4835276417,55614625.938825965,1,1,21.38,True
0.2694976463,0.602615057,96789.9761910367,21833515.750117145,1,1,19.97,False
0.0913177026,0.2041925905,25026.3494146218,55416465.20435232,1,1,22.32,False
0.1272198785,0.2844722965,59454.9149473231,57559689.111964606,1,1,21.6,False
0.3346223745,0.7482383761,82722.6191509304,44181157.566819616,1,1,19.5,True
0.0133215567,0.0297879063,47824.6138637976,54068936.68941325,1,1,26.5,False
0.058150704,0.130028927,42486.4443653906,60865354.45709736,1,1,23.3,False
0.1925550782,0.4305662442,45851.837052627,34060548.52305814,1,1,20.7,False
0.1414343753,0.3162568776,53188.8859866182,32438340.71112977,1,1,21.37,True
1.4078454339,3.1480380919,20431.9006108626,40374852.1038863,1,1,16.38,False
0.3094246986,0.69189466,35424.5949860877,36054346.493502416,1,1,19.67,False
0.0167708462,0.0375007522,18373.8871501844,306175.961654413,1,1,26.0,False
0.02658,0.0594346868,31621.788747005,3485924.166256893,1,1,25.0,False
0.3346223745,0.7482383761,46693.004052838,34353002.246092126,1,1,19.5,False
0.0073207399,0.016369672,27295.2306281084,72413359.56599009,1,1,27.8,False
0.1414343753,0.3162568776,30806.149055815,71898983.56624335,1,1,21.37,True
0.0732073989,0.1636967205,60614.6323790182,51096758.64107146,1,1,22.8,False
0.0421264611,0.0941976306,71055.4781243113,73292925.5384197,1,1,24.0,False
1.5507970872,3.4676877062,44991.4524371593,74705495.73656417,1,1,16.17,False
0.1108038821,0.2477650126,88216.3761291569,34552177.43364181,1,1,21.9,False
1.5224918504,3.4043952726,44991.3477629016,74705467.29800908,1,1,16.21,False
0.2315021222,0.5176544822,49211.3599431631,29876833.170471225,1,1,20.3,False
0.0319561887,0.0714562102,51531.0295927896,39698280.22351218,1,1,24.6,False
0.3051792326,0.6824015094,64788.305834547,64251607.6063272,1,1,19.7,False
0.058150704,0.130028927,42545.6418800761,53414529.8428096,1,1,23.3,False
0.0896509666,0.2004656557,63776.3904782532,53582579.42825093,1,1,22.36,False
0.010012787,0.0223892723,49256.00824181,36310465.94570995,1,1,27.12,False
0.0506471459,0.1132504611,43948.7237532503,46738983.33933981,1,1,23.6,False
0.3195618867,0.7145621017,76744.7714542748,53147174.81265614,1,1,19.6,False
0.052547853,0.1175005715,54406.2431049127,28247131.118607126,1,1,23.52,False
0.0278326768,0.0622357573,20944.8035940873,58831504.66387776,1,1,24.9,False
0.3051792326,0.6824015094,95061.6636303395,61738863.87000128,1,1,19.7,False
0.2954982931,0.6607542706,48952.7610389629,62510142.69120181,1,1,19.77,False
0.04411182,0.0986370281,57716.2171807441,39945539.143477485,1,1,23.9,False
0.1677084622,0.3750075218,55369.9434596245,16915016.35071087,1,1,21.0,False
0.3754524794,0.8395372662,91343.4208554485,35988937.427847855,1,1,19.25,False
0.0366906138,0.0820427065,100967.3726233367,68100526.3815649,1,1,24.3,False
0.1925550782,0.4305662442,107904.8997589694,55511441.82525898,1,1,20.7,False
0.0766575574,0.1714115092,34791.0195131565,32827617.75101685,1,1,22.7,False
0.0122618211,0.0274182656,42854.8683231911,68709944.12217113,1,1,26.68,False
0.009830033,0.0219806221,96128.4706760272,58250484.59326067,1,1,27.16,False
0.6376097899,1.4257388333,88276.6642395618,54340555.72261512,1,1,18.1,False
0.3346223745,0.7482383761,50526.5505373339,44291839.49571143,1,1,19.5,False
0.0319561887,0.0714562102,38796.4598154052,5427640.685445764,1,1,24.6,False
0.3669061375,0.8204270649,64966.8062796185,67509531.08009684,1,1,19.3,False
0.1332155667,0.2978790628,53881.4644721636,43969583.782603264,1,1,21.5,False
0.0844413128,0.1888165155,46763.7882416147,28137757.79708314,1,1,22.49,False
0.4023045798,0.8995803882,95019.5065775062,31087922.33933698,1,1,19.1,False
0.009830033,0.0219806221,35067.5800807006,23461016.035490368,1,1,27.16,False
0.0121494041,0.0271668934,46519.5368844605,35933976.441991754,1,1,26.7,False
0.0350392641,0.0783501764,74970.0833469343,69789155.4981754,1,1,24.4,False
0.096506147,0.2157943048,68192.2095610093,50062346.66600568,1,1,22.2,False
0.0303777061,0.0679266159,18532.7034633018,34395244.95959316,1,1,24.71,False
0.2538370294,0.5675968529,82669.7341981465,69143457.31205636,1,1,20.1,True
0.0876102615,0.1959025002,45297.5335956011,20956435.03214207,1,1,22.41,False
0.2210828104,0.4943561926,76550.4236413868,56395594.842377454,1,1,20.4,False
0.0649463841,0.1452245297,51937.7834260764,43375545.22662559,1,1,23.06,False
0.4004561582,0.8954471917,119266.8350688706,45316749.2683912,1,1,19.11,False
0.5553349116,1.2417666126,105445.8045904212,74299479.12885793,1,1,18.4,False
0.7808272775,1.7459828712,45243.8608660916,38587952.89446216,1,1,17.66,True
0.1680176773,0.3756989478,46886.7300513581,26628341.33377231,1,1,20.996,False
0.2585562121,0.5781492662,111633.2619003137,71132506.07372068,1,1,20.06,False
0.0092162655,0.0206081961,43245.8643307216,18755654.70538789,1,1,27.3,False
0.5303407233,1.1858779086,80306.328648478,65309250.36534912,1,1,18.5,False
0.0291443905,0.0651688382,51543.0180985097,61255376.68885426,1,1,24.8,False
0.0133215567,0.0297879063,68755.5027538085,59208659.54900215,1,1,26.5,False
0.022108281,0.0494356193,37160.4966602944,4393003.221510523,1,1,25.4,False
0.02658,0.0594346868,25958.4232315643,53862011.62908757,1,1,25.0,False
0.0128989683,0.02884297,72458.0660864826,69690496.5107389,1,1,26.57,False
0.4836764882,1.0815335068,75735.3487638467,73540603.1080242,1,1,18.7,False
0.8366715019,1.8708543531,48594.9019041619,36842649.896384045,1,1,17.51,True
0.634680239,1.4191881584,99305.7966367884,58486224.20795981,1,1,18.11,False
0.2390864572,0.5346135707,26416.3852941287,2776683.67150408,1,1,20.23,True
0.0667659413,0.1492931834,19290.8910480371,21375397.8694377,1,1,23.0,False
0.008405334,0.0187948982,23935.8910495148,58861217.40386269,1,1,27.5,False
0.0699125232,0.1563291544,30255.5399777553,24703696.773909967,1,1,22.9,False
0.0608912622,0.1361570015,30603.9076591847,53179586.43285396,1,1,23.2,False
0.0211132445,0.0472106499,76615.366009761,17230288.536051698,1,1,25.5,False
0.365220357,0.8166575449,51150.7621830215,52304247.22856292,1,1,19.31,False
0.0133215567,0.0297879063,60691.7244358559,42999675.97063619,1,1,26.5,False
0.0105816886,0.023661375,26345.6001071035,6619106.967065538,1,1,27.0,False
0.1301832102,0.2910985075,83711.7274091803,27582653.85202784,1,1,21.55,True
0.2515098375,0.5623930936,83795.7449714065,57680593.10819288,1,1,20.12,False
0.3051792326,0.6824015094,96423.869007796,59939512.732269816,1,1,19.7,False
0.0840533402,0.1879489824,49422.4311377905,56444691.09805659,1,1,22.5,False
0.1272198785,0.2844722965,79895.5644095813,30548019.662163425,1,1,21.6,False
0.0183888672,0.0411187571,96103.0421048596,70241996.4336689,1,1,25.8,False
0.0291443905,0.0651688382,49288.6581013289,72665057.9673053,1,1,24.8,False
0.0211132445,0.0472106499,34188.8072693499,9490144.827618577,1,1,25.5,False
0.0253837029,0.0567596853,39791.8679123304,53407533.569303736,1,1,25.1,False
2.8350124902,6.3392806452,101894.6304409878,66215882.856001005,1,1,14.86,False
0.235806068,0.5272783976,39251.0578707443,25632968.04486704,1,1,20.26,False
0.4310771239,0.9639177525,85158.1295152668,42775215.67630016,1,1,18.95,False
0.0732073989,0.1636967205,23238.1147933969,33730048.351655975,1,1,22.8,False
0.2796114661,0.6252302454,74772.1262570936,33811933.483441494,1,1,19.89,False
0.0802703167,0.1794898848,22778.8986097376,10099545.289670808,1,1,22.6,False
0.1332155667,0.2978790628,34803.0199650572,32204224.89155076,1,1,21.5,False
0.1010543415,0.2259643771,62495.5379562936,74622338.87328577,1,1,22.1,False
0.3346223745,0.7482383761,81401.7407267596,51417974.5741842,1,1,19.5,True
0.3194147569,0.7142331095,81409.2711338347,51356062.56817791,1,1,19.601,True
0.0100590039,0.0224926165,9941.5976121181,9335863.990775457,1,1,27.11,False
0.0802703167,0.1794898848,32253.322341802,3965265.197557496,1,1,22.6,False
0.2315021222,0.5176544822,95334.1465860868,69271632.67731363,1,1,20.3,False
0.0608912622,0.1361570015,36101.8117501142,54973498.94002157,1,1,23.2,False
0.0178055329,0.039814382,66448.2450943242,32897123.67401966,1,1,25.87,False
0.7154099509,1.599705282,76004.5561903523,26620233.847288083,1,1,17.85,False
0.1970402621,0.4405954204,81739.7792256906,65369478.7221275,1,1,20.65,False
0.1272198785,0.2844722965,56298.8716919215,12231611.006315326,1,1,21.6,False
0.04411182,0.0986370281,36795.4686045688,6103587.052246052,1,1,23.9,False
0.0840533402,0.1879489824,17755.1579905041,3287106.098742464,1,1,22.5,False
0.0253837029,0.0567596853,51686.5768296307,62284570.465817645,1,1,25.1,False
0.0555334912,0.1241766613,29010.8984449413,56207197.65776872,1,1,23.4,False
0.1108038821,0.2477650126,72215.1336933572,66325037.48039885,1,1,21.9,True
0.0060891262,0.0136157002,56007.882349821,40322176.03101721,1,1,28.2,False
0.02658,0.0594346868,44589.5208517212,43474532.38690952,1,1,25.0,False
0.0291443905,0.0651688382,13504.6830859974,38406629.65457337,1,1,24.8,False
0.7916896669,1.7702719124,118940.5412884019,57523444.28570464,1,1,17.63,False
0.1925550782,0.4305662442,64022.1885437951,56503227.29348825,1,1,20.7,True
0.0110803882,0.0247765013,50175.2093220457,24268700.4258622,1,1,26.9,False
0.04411182,0.0986370281,33080.6453822298,15642716.116658704,1,1,23.9,False
0.0201629919,0.0450858206,19536.4499614473,27631391.16257769,1,1,25.6,False
0.0088014652,0.0196806745,39828.254041129,31469185.66068476,1,1,27.4,False
0.037201031,0.0831840342,55889.8824468787,23038052.60707584,1,1,24.27,False
0.0159424468,0.0356483948,55101.5946909011,29802961.71234565,1,1,26.11,False
0.2538370294,0.5675968529,17896.0597075417,65794186.790821545,1,1,20.1,False
0.1077841687,0.2410127282,80962.5535662751,74352320.53729294,1,1,21.96,False
0.02658,0.0594346868,86729.7074654426,63780124.74170068,1,1,25.0,False
0.1925550782,0.4305662442,83629.2220181284,54742517.36037672,1,1,20.7,False
0.1460679643,0.3266178974,49766.1146755466,14507713.65117748,1,1,21.3,False
0.096506147,0.2157943048,85709.7587466673,72869350.64367133,1,1,22.2,False
0.0253837029,0.0567596853,18999.3932963717,47869022.02781614,1,1,25.1,False
0.1838886721,0.411187571,121247.4981567218,33073294.763265632,1,1,20.8,False
0.0058150704,0.0130028927,54355.2945560186,55502078.67409313,1,1,28.3,False
0.0969515991,0.2167903661,66869.0233177882,34898057.31326507,1,1,22.19,False
0.4290965044,0.9594889528,107854.1590787536,48575907.25370367,1,1,18.96,True
0.096506147,0.2157943048,66869.0234320075,34898057.26838571,1,1,22.2,False
0.0181365625,0.0405545866,29161.6080611796,69299379.88080421,1,1,25.83,False
0.2658,0.5943468684,96280.1783862599,64462290.78954408,1,1,20.0,True
0.0278326768,0.0622357573,100535.1041178475,61498133.50580128,1,1,24.9,False
0.0334622374,0.0748238376,58976.551601527,33995099.813968025,1,1,24.5,False
0.0350392641,0.0783501764,116288.9995483332,54713963.61492983,1,1,24.4,False
0.0066765941,0.0149293183,81281.7352838531,74233380.70125861,1,1,28.0,False
0.0921626549,0.2060819612,31955.8102235126,5953324.683467299,1,1,22.3,False
0.058150704,0.130028927,51927.2722942715,37815573.63132989,1,1,23.3,False
0.1214940408,0.2716689341,28651.9083234466,53424665.77169252,1,1,21.7,False
0.0146067964,0.0326617897,7780.3401132176,16013249.111906692,1,1,26.3,False
0.0253837029,0.0567596853,14765.5285175084,9783698.633549394,1,1,25.1,False
0.1394938229,0.3119176705,63761.517761598,62794609.23435864,1,1,21.4,False
0.2538370294,0.5675968529,89482.6647265259,65598076.5793922,1,1,20.1,False
0.04411182,0.0986370281,69419.9772854503,52663195.96314959,1,1,23.9,False
0.0116025908,0.0259441818,85338.9500829325,53777267.5024889,1,1,26.8,False
0.0334622374,0.0748238376,43227.9621147172,24120846.46311215,1,1,24.5,False
0.1198270801,0.2679414966,86220.6111455594,42853865.73918714,1,1,21.73,False
0.4023045798,0.8995803882,60690.3409045271,65415008.13075201,1,1,19.1,False
0.0136318556,0.0304817558,24061.4750870466,1300324.791993728,1,1,26.45,False
0.1108038821,0.2477650126,44375.2879855061,21847965.76741533,1,1,21.9,True
0.1394938229,0.3119176705,96984.7116703045,40941473.199998446,1,1,21.4,True
0.1925550782,0.4305662442,96631.4400883477,58639083.89495751,1,1,20.7,False
0.0088014652,0.0196806745,57190.5982132657,64304612.3157971,1,1,27.4,False
0.0127219879,0.0284472297,37369.9033937996,33326755.038534984,1,1,26.6,False
0.2821986791,0.6310154296,49291.8634694311,68444256.47995712,1,1,19.87,False
1.4208720673,3.1771665298,77783.5776843382,52656769.55280991,1,1,16.36,False
0.3346223745,0.7482383761,94426.2546985804,41157906.19230857,1,1,19.5,False
0.096506147,0.2157943048,51667.9054171664,62305914.49151777,1,1,22.2,False
0.1460679643,0.3266178974,125015.7533881835,33625039.48815009,1,1,21.3,True
0.0421264611,0.0941976306,76563.7725754678,60577045.5973681,1,1,24.0,False
0.0101054342,0.0225964377,40253.639584194,55623843.81550027,1,1,27.1,False
0.7808272775,1.7459828712,74519.1785834089,61015276.65527952,1,1,17.66,False
0.1160259082,0.2594418179,32506.2812552735,39512935.82279737,1,1,21.8,False
0.0160160338,0.0358129403,29295.6641487588,27486373.6203222,1,1,26.1,False
0.2901048414,0.648694146,69297.7653395215,4831948.444693535,1,1,19.81,True
0.0175612318,0.0392681082,50914.9032831965,51103953.26639317,1,1,25.9,False
0.0802703167,0.1794898848,43724.1932061577,48899876.745050766,1,1,22.6,False
0.046190746,0.1032856481,33692.5327417513,20693411.86263084,1,1,23.8,False
0.0802703167,0.1794898848,50622.1562616955,40293317.09095573,1,1,22.6,False
0.2111324448,0.4721064988,45380.5317836248,63351591.51530988,1,1,20.5,True
0.058150704,0.130028927,72558.4941657065,69595525.99342532,1,1,23.3,False
0.0170041519,0.0380224396,26567.7739384566,23618698.787736434,1,1,25.97,False
0.67383719,1.5067457626,35339.1231777818,62801106.643847406,1,1,17.98,False
0.9131770255,2.0419259045,132185.0032723958,68330084.8965116,1,1,17.32,False
0.5064714588,1.1325046106,19324.2600891716,42337251.59074754,1,1,18.6,False
0.2390864572,0.5346135707,57366.660911314,71912989.4573851,1,1,20.23,False
0.1108038821,0.2477650126,59817.494937433,51568316.67862766,1,1,21.9,False
0.0160160338,0.0358129403,37680.7883286035,25114895.706149403,1,1,26.1,False
0.1899131235,0.4246586539,133216.4743165159,55023720.8747931,1,1,20.73,True
0.3195618867,0.7145621017,41773.6565673923,37777376.612705566,1,1,19.6,False
0.0040230458,0.0089958039,18568.5867397932,8495296.716995731,1,1,29.1,False
0.0483676488,0.1081533507,29709.8638254442,66103763.69549275,1,1,23.7,False
0.3051792326,0.6824015094,58332.3023229772,62543868.947561614,1,1,19.7,True
0.0437074004,0.0977327184,66213.0718315924,67011831.08403432,1,1,23.92,False
0.1332155667,0.2978790628,40798.486989049,42236866.199011885,1,1,21.5,False
0.2401900301,0.5370812349,56442.6445392371,15888175.47896642,1,1,20.22,True
0.0319561887,0.0714562102,81452.0919120289,65463164.20869756,1,1,24.6,False
0.0732073989,0.1636967205,38021.6913401671,31950299.785779744,1,1,22.8,False
0.1058168859,0.2366137501,26540.6823694503,70089489.97716184,1,1,22.0,False
0.3195618867,0.7145621017,130955.1606471186,68973434.30631292,1,1,19.6,False
0.046190746,0.1032856481,88374.7302987463,28471926.302734938,1,1,23.8,False
0.0699125232,0.1563291544,43878.009317611,64134916.27115834,1,1,22.9,False
0.1997813652,0.4467247133,54603.315818149,56318576.72769452,1,1,20.62,False
0.0667659413,0.1492931834,39821.5683103561,14641471.739666993,1,1,23.0,False
0.1772372393,0.3963145151,36181.3788486234,42673374.32329473,1,1,20.88,False
0.040230458,0.0899580388,27923.2073125302,35069588.460015334,1,1,24.1,False
0.0101054342,0.0225964377,21768.9496669228,41591556.48864165,1,1,27.1,False
0.0319561887,0.0714562102,87242.8962131496,67243537.10632443,1,1,24.6,False
0.1113153296,0.2489086439,94792.2835529369,74375444.22413392,1,1,21.89,True
0.0127219879,0.0284472297,20739.1230655936,19943422.37414915,1,1,26.6,False
0.2111324448,0.4721064988,39833.7390100552,63974690.34016248,1,1,20.5,False
0.6005580277,1.3428885744,91677.0321008546,51694017.59039664,1,1,18.23,False
0.0483676488,0.1081533507,8687.9811778274,18734577.69692593,1,1,23.7,False
0.1572370824,0.3515928047,59355.2850035886,38389021.267204605,1,1,21.14,False
0.0880146521,0.1968067451,59979.9217823096,24036099.613832247,1,1,22.4,False
0.1382149359,0.3090579921,73799.6080924231,62342903.07350803,1,1,21.42,False
0.0880146521,0.1968067451,87923.0311364156,60830112.1460034,1,1,22.4,False
0.0253837029,0.0567596853,107115.5007008399,63301020.94270232,1,1,25.1,False
0.0183888672,0.0411187571,32223.5071933954,52283988.72988688,1,1,25.8,False
0.4672560966,1.0448163949,112633.4933789436,25707918.77682573,1,1,18.775,True
0.058150704,0.130028927,55594.6227259574,68930157.07866149,1,1,23.3,False
0.0506471459,0.1132504611,50085.0300876008,48038054.57598188,1,1,23.6,False
0.0840533402,0.1879489824,42253.9287470878,32907428.244581427,1,1,22.5,False
0.0211132445,0.0472106499,85669.202796876,49355290.105677634,1,1,25.5,False
0.1272198785,0.2844722965,69684.6126440574,57970788.711218365,1,1,21.6,False
0.0490405098,0.1096579137,62786.8959148501,35937430.16313708,1,1,23.67,False
0.0315177333,0.0704757942,87448.5071713044,59131560.80106728,1,1,24.63,False
0.06259721,0.1399716167,54304.6381757528,54969448.21865644,1,1,23.14,False
0.1677084622,0.3750075218,92652.8366220516,73573136.21665224,1,1,21.0,False
0.0055533491,0.0124176661,14882.7113882951,19412090.92189703,1,1,28.4,False
0.0667659413,0.1492931834,27678.8134989376,55577353.76415355,1,1,23.0,False
0.096506147,0.2157943048,53940.3813282056,22205435.26330365,1,1,22.2,False
0.1019893859,0.2280551997,49475.9234901096,52457731.18747212,1,1,22.08,False
0.160160338,0.358129403,85055.1859342253,51298816.23550096,1,1,21.1,False
0.0921626549,0.2060819612,42192.0883715598,49714095.82470058,1,1,22.3,False
1.1818299089,2.6426520142,29134.6103060234,21794141.15689932,1,1,16.76,False
0.7354530894,1.644523102,19608.7846354889,45975704.02488094,1,1,17.79,False
0.1838886721,0.411187571,35998.1888492834,65201715.541808285,1,1,20.8,False
0.6376097899,1.4257388333,112359.5715294274,63354427.80116636,1,1,18.1,False
0.1838886721,0.411187571,17082.5001334524,19277643.695859578,1,1,20.8,False
0.0584191154,0.1306291133,71503.9349405274,66281420.0821508,1,1,23.29,False
0.0506471459,0.1132504611,54118.8588476297,54316646.57215767,1,1,23.6,False
0.0253837029,0.0567596853,22280.9497773955,20754004.86421734,1,1,25.1,False
0.0150160248,0.0335768522,41796.4843677161,26408373.792587694,1,1,26.24,False
0.1460679643,0.3266178974,61595.9689505789,63085739.53983567,1,1,21.3,False
0.4023045798,0.8995803882,73215.5004724637,49651627.8830898,1,1,19.1,False
0.3346223745,0.7482383761,54337.5974732965,49162141.07936642,1,1,19.5,True
0.208235599,0.4656289548,33386.8626083672,24815446.801674005,1,1,20.53,False
0.0127219879,0.0284472297,62687.9763786359,53660753.72503195,1,1,26.6,False
0.0139493823,0.0311917671,27171.5770710958,52119368.64569573,1,1,26.4,False
0.1272198785,0.2844722965,30347.9381572078,26023187.162380666,1,1,21.6,True
0.2914439045,0.6516883822,41768.0558893624,54164528.84571581,1,1,19.8,False
